Oasis,Radiohead
as,Bullet for My Valentine
Ra,D
Radiohead,Death
Avenged Sevenfold,D
The P,The Prodigy
Queen,Radiohead
A,The xx
Muse,Death Cab for Cutie
A,Smashing Pumpkins
Queen,Muse
D,Massive Attack
Nirvana,Radiohead
X,Ra
The Killers,Coldplay
A,The Prodigy
Pepper,Nirvana
as,Red
The P,Lady Gaga
Cold,Placebo
Valentin,Ra
Iron Maiden,D
Queen,D
Ra,X
Ra,Daft Punk
as,The Doors
Killers,Oasis
as,Avenged Sevenfold
MGMT,Arctic Monkeys
D,3OH!3
Ra,Red Hot Chili Peppers
The Prodigy,Prodigy
Ra,Down
D,The Prodigy
Ra,AC
D,Blu
A,Korn
Paramore,Muse
A,Deftones
as,Massive Attack
as,Slipknot
D,Ramones
Massiv,Massive Attack
as,The Who
AC/DC,AC
Killers,Radiohead
Ra,Fall Out Boy
Arctic Monkeys,Oasis
The Killers,Radiohead
The Strokes,Muse
A,Pink Floyd
Three Days Grace,D
A,Rammstein
The Beatles,Pink
Down,Red
Cold,Arctic Monkeys
Red,Placebo
D,Opeth
D,Kasabian
System of a Down,Down
D,Red Hot Chili Peppers
D,Beyoncé
Ra,Franz Ferdinand
Muse,Green Day
A,Nine Inch Nails
D,Slayer
Arctic Monkeys,The Beatles
D,Nine Inch Nails
Lady Gaga,Ke$ha
as,Michael Jackson
Evanescence,D
D,Avril Lavigne
A,Regi
A,Katy Perry
A,Rage
Cold,MGMT
Muse,Placebo
D,Linkin Park
Valentin,Bullet for My Valentine
D,Phoenix
Rihanna,as
Kasabian,D
Ra,Paramore
Ra,Beck
A,Cast
Low,All Time Low
D,Ra
D,Placebo
as,Pearl Jam
Nirvana,Arctic Monkeys
as,Cree
Ra,Lady Gaga
AC,AC/DC
A,Beyoncé
The Killers,Ra
tt,MGMT
The Beatles,The Killers
as,Megadeth
as,The Smashing Pumpkins
Coldplay,D
A,Radiohead
Cold,Red Hot Chili Peppers
A,Phoenix
Ra,The Clash
Metallica,Iron Maiden
Arctic Monkeys,MGMT
as,Snow
Foo Fighters,Muse
The Beatles,Muse
D,The Killers
D,The Smiths
Nirvana,Muse
Red,The Killers
The Killers,Oasis
Red Hot Chili Peppers,Nirvana
as,Can
as,Pink
Coldplay,A
A,Vampire Weekend
A,Placebo
D,Vampire Weekend
A,Low
Kings of Leon,Radiohead
Pepper,Cold
Cold,Coldplay
as,The Killers
A,Evanescence
Ra,Death
Arctic Monkeys,Kings of Leon
The Beatles,Led Zeppelin
as,Oasis
D,Eminem
Kings of Leon,Killers
Cold,The Beatles
A,Ramones
D,Gorillaz
Pepper,Coldplay
Ra,Pearl Jam
Metallica,Ra
as,Regina
Tool,D
Death,Radiohead
D,U2
Franz Ferdinand,Radiohead
Regina,Regina Spektor
as,Tool
Radiohead,Nirvana
Queen,Pink Floyd
Down,Metallica
A,Queens of the Stone Age
The Strokes,Arctic Monkeys
Red,Linkin Park
Placebo,The Killers
Ra,The Cure
Queens of the Stone Age,Queen
tt,Muse
as,AC/DC
Ra,Green Day
A Perfect Circle,A
The Offspring,D
Ra,Bloc Party
Cold,Muse
Kings of Leon,Arctic Monkeys
A,Keane
A,Avril Lavigne
tt,Fall Out Boy
as,Bullet
Ra,Blu
The Beatles,MGMT
A,Britney Spears
A,Tool
as,The Smiths
Radiohead,David Bowie
as,3OH!3
Down,Nirvana
Pepper,Foo Fighters
as,David Bowie
Nirvana,Pink
A,Metallica
D,System of a Down
A,Snow
tt,Gorillaz
tt,Kings of Leon
as,Linkin Park
D,Fall Out Boy
Pink Floyd,Led Zeppelin
Cold,Killers
Of,The Offspring
Ra,The Beatles
Prodigy,The Prodigy
Muse,Coldplay
A,AC/DC
A,Pink
as,Snow Patrol
A,Marilyn Manson
Death,Muse
Pearl Jam,Ra
as,Muse
A,Interpol
as,Depeche Mode
as,Massiv
D,Regina Spektor
Red Hot Chili Peppers,Muse
Red,Arctic Monkeys
D,Interpol
Ra,Yeah Yeah Yeahs
Killers,Placebo
